vrp-n189-c215-s4,GA,33979.1,440.403,6.45288,1103.64,9.76672,113,129701,1
vrp-n188-c331-s4,GA,34148.1,431.498,6.32176,1103.64,9.51413,116,129709,1
vrp-n156-c237-s4,GA,34568.5,437.877,6.30364,1103.64,9.27428,119,131787,1
vrp-n188-c282-s4,GA,34221.1,428.111,6.16597,1103.64,9.27428,119,129801,1
vrp-n170-c186-s4,GA,33787.2,423.482,6.36164,1103.64,9.51413,116,130498,1
vrp-n173-c308-s4,GA,33307.4,438.747,6.49324,1103.64,9.68104,114,130647,1
vrp-n198-c245-s4,GA,35092,424.514,5.84706,1103.64,8.62218,128,134302,1
vrp-n156-c312-s4,GA,34347,438.769,6.37427,1103.64,9.68104,114,129071,1
vrp-n186-c259-s4,GA,34205.6,456.612,6.5427,1103.64,9.85392,112,132523,1
vrp-n195-c346-s4,GA,33526.1,433.32,6.44107,1103.64,9.76672,113,129751,1
vrp-n196-c199-s4,GA,34610.2,430.393,6.08292,1103.64,9.12098,121,131544,1
vrp-n161-c247-s4,GA,33981.5,433.208,6.30043,1103.64,9.51413,116,129440,1
vrp-n184-c322-s4,GA,34121.7,446.85,6.44166,1103.64,9.76672,113,130119,1
vrp-n194-c322-s4,GA,34324.7,423.879,6.12361,1103.64,9.12098,121,130648,1
vrp-n190-c365-s4,GA,35227.7,424.931,5.93347,1103.64,8.90032,124,132024,1
vrp-n181-c181-s4,GA,34440.7,441.382,6.27802,1103.64,9.51413,116,132045,1
vrp-n181-c301-s4,GA,34774.2,422.595,6.09403,1103.64,9.19699,120,129963,1
vrp-n174-c324-s4,GA,33710.4,434.575,6.36892,1103.64,9.68104,114,130082,1
vrp-n152-c355-s4,GA,34872.4,419.38,6.06088,1103.64,9.12098,121,129904,1
vrp-n169-c336-s4,GA,34178.7,438.582,6.36886,1103.64,9.68104,114,130376,1
vrp-n175-c325-s4,GA,34017.8,445.839,6.45343,1103.64,9.76672,113,130070,1
vrp-n164-c250-s4,GA,34112.8,434.154,6.33166,1103.64,9.59686,115,130440,1
vrp-n153-c305-s4,GA,34299.4,413.505,6.07658,1103.64,9.12098,121,128729,1
vrp-n165-c234-s4,GA,34420.6,433.739,6.21729,1103.64,9.35287,118,129484,1
vrp-n152-c270-s4,GA,33842.6,449.535,6.57251,1103.64,9.94269,111,130364,1
vrp-n178-c337-s4,GA,33439.3,436.554,6.45183,1103.64,9.76672,113,130490,1
vrp-n168-c277-s4,GA,34433.1,453.816,6.38108,1103.64,9.59686,115,133581,1
vrp-n179-c242-s4,GA,35156.9,421.127,6.10739,1103.64,8.97268,123,130441,1
vrp-n179-c252-s4,GA,34083.9,455.452,6.50315,1103.64,9.94269,111,131857,1
vrp-n166-c288-s4,GA,33929.5,436.604,6.35427,1103.64,9.59686,115,129270,1
vrp-n153-c255-s4,GA,33609.3,444.57,6.58001,1103.64,9.85392,112,129677,1
vrp-n191-c234-s4,GA,35058.8,430.819,6.04077,1103.64,9.12098,121,131571,1
vrp-n177-c289-s4,GA,34644.2,434.031,6.16429,1103.64,9.19699,120,130877,1
vrp-n168-c342-s4,GA,34164.4,446.69,6.41888,1103.64,9.76672,113,130897,1
vrp-n153-c292-s4,GA,34397.3,447.783,6.32043,1103.64,9.59686,115,132452,1
vrp-n169-c295-s4,GA,33896.3,433.858,6.35731,1103.64,9.68104,114,129751,1
vrp-n174-c274-s4,GA,34681.6,422.986,6.03339,1103.64,9.04622,122,131913,1
vrp-n180-c264-s4,GA,34241.9,428.939,6.18955,1103.64,9.35287,118,131887,1
vrp-n164-c365-s4,GA,34194.8,427.29,6.27744,1103.64,9.51413,116,128962,1
vrp-n165-c350-s4,GA,34521.7,432.71,6.24166,1103.64,9.43281,117,129883,1
vrp-n178-c160-s4,GA,34098,427.422,6.21292,1103.64,9.35287,118,130218,1
vrp-n181-c191-s4,GA,34531.3,441.766,6.42407,1103.64,9.51413,116,130265,1
vrp-n170-c262-s4,GA,33652.1,443.529,6.44086,1103.64,9.76672,113,131454,1
vrp-n194-c332-s4,GA,34789,434.832,6.18565,1103.64,9.35287,118,130832,1
vrp-n171-c206-s4,GA,34902.2,453.659,6.36643,1103.64,9.59686,115,132026,1
vrp-n185-c216-s4,GA,34226.5,437.315,6.49072,1103.64,9.59686,115,129165,1
vrp-n157-c277-s4,GA,34780.4,455.106,6.37566,1103.64,9.68104,114,132730,1
vrp-n199-c320-s4,GA,34381.4,441.19,6.30099,1103.64,9.51413,116,131090,1
vrp-n170-c291-s4,GA,33994.2,422.382,6.20875,1103.64,9.27428,119,130112,1
vrp-n187-c248-s4,GA,33857.7,434.113,6.26909,1103.64,9.43281,117,131014,1
vrp-n156-c276-s4,GA,34319.4,418.568,6.08182,1103.64,9.12098,121,130046,1
vrp-n171-c323-s4,GA,34554.8,434.305,6.24715,1103.64,9.43281,117,129628,1
vrp-n185-c333-s4,GA,34232.2,424.244,6.15546,1103.64,9.27428,119,129631,1
vrp-n173-c198-s4,GA,34234.8,431.542,6.28793,1103.64,9.51413,116,129570,1
vrp-n189-c254-s4,GA,34471.8,437.412,6.33014,1103.64,9.59686,115,130032,1
vrp-n199-c314-s4,GA,34259.1,434.334,6.37876,1103.64,9.76672,113,128830,1
vrp-n199-c194-s4,GA,34342.3,447.874,6.3731,1103.64,9.51413,116,131740,1
vrp-n189-c365-s4,GA,33874.9,422.843,6.27975,1103.64,9.27428,119,129828,1
vrp-n198-c350-s4,GA,34435.3,447.736,6.33979,1103.64,9.51413,116,132395,1
vrp-n160-c285-s4,GA,34475.5,428.849,6.20144,1103.64,9.19699,120,131231,1
vrp-n198-c241-s4,GA,34179,427.149,6.21638,1103.64,9.35287,118,130382,1
vrp-n185-c313-s4,GA,33456.3,438.93,6.54361,1103.64,9.94269,111,127222,1
vrp-n195-c313-s4,GA,35283,441.844,6.07265,1103.64,9.12098,121,133752,1
vrp-n194-c326-s4,GA,33902.8,435.246,6.34159,1103.64,9.59686,115,129605,1
vrp-n189-c287-s4,GA,34074.8,434.533,6.3576,1103.64,9.68104,114,130473,1
vrp-n187-c239-s4,GA,33614.1,446.264,6.55541,1103.64,9.85392,112,130939,1
vrp-n173-c338-s4,GA,34848.6,455.42,6.28922,1103.64,9.51413,116,133336,1
vrp-n194-c237-s4,GA,34873.5,451.153,6.39526,1103.64,9.51413,116,132355,1
vrp-n185-c193-s4,GA,34483.4,433.712,6.27802,1103.64,9.51413,116,129978,1
vrp-n188-c364-s4,GA,34007.9,441.262,6.39631,1103.64,9.76672,113,131723,1
vrp-n159-c178-s4,GA,34020.9,435.729,6.27989,1103.64,9.43281,117,131853,1
vrp-n170-c182-s4,GA,33650.3,428.032,6.3476,1103.64,9.59686,115,128925,1
vrp-n161-c337-s4,GA,34518.5,443.174,6.31127,1103.64,9.51413,116,132852,1
vrp-n196-c238-s4,GA,34277.2,421.954,6.17521,1103.64,9.27428,119,129558,1
vrp-n175-c230-s4,GA,33952.7,438.966,6.44786,1103.64,9.68104,114,130215,1
vrp-n153-c241-s4,GA,34163.9,442.189,6.44051,1103.64,9.59686,115,131634,1
vrp-n179-c175-s4,GA,34368,440.418,6.30406,1103.64,9.59686,115,131297,1
vrp-n174-c254-s4,GA,34686.8,431.71,6.20119,1103.64,9.35287,118,130281,1
vrp-n152-c225-s4,GA,34550.1,444.527,6.30099,1103.64,9.51413,116,131164,1
vrp-n193-c179-s4,GA,34257.9,445.714,6.3499,1103.64,9.51413,116,132719,1
vrp-n168-c333-s4,GA,34103.6,434.499,6.44181,1103.64,9.76672,113,128647,1
vrp-n181-c282-s4,GA,33901.4,426.339,6.24729,1103.64,9.43281,117,129452,1
vrp-n180-c177-s4,GA,34317.9,434.986,6.28836,1103.64,9.51413,116,130887,1
vrp-n169-c357-s4,GA,34418.7,432.244,6.21192,1103.64,9.35287,118,129917,1
vrp-n181-c305-s4,GA,34411.9,437.942,6.31522,1103.64,9.59686,115,129704,1
vrp-n174-c231-s4,GA,34184.1,431.445,6.2067,1103.64,9.35287,118,132085,1
vrp-n178-c174-s4,GA,33770.6,442.004,6.42455,1103.64,9.76672,113,131766,1
vrp-n164-c231-s4,GA,33921.1,417.173,6.24707,1103.64,9.43281,117,127563,1
vrp-n178-c247-s4,GA,33819.3,424.981,6.23933,1103.64,9.35287,118,130809,1
vrp-n168-c307-s4,GA,34470.3,440.916,6.31464,1103.64,9.59686,115,130908,1
vrp-n168-c247-s4,GA,34481.5,446.666,6.39589,1103.64,9.51413,116,131237,1
vrp-n175-c214-s4,GA,35249.2,434.501,6.08944,1103.64,9.19699,120,132940,1
vrp-n175-c185-s4,GA,34937.5,446.292,6.18955,1103.64,9.35287,118,134109,1
vrp-n180-c260-s4,GA,34349.9,440.997,6.32997,1103.64,9.68104,114,130221,1
vrp-n152-c190-s4,GA,33984.2,427.016,6.30558,1103.64,9.51413,116,129540,1
vrp-n178-c263-s4,GA,33877.6,432.195,6.33725,1103.64,9.59686,115,127718,1
vrp-n167-c179-s4,GA,34559.9,452.072,6.40314,1327.83,11.6476,114,132665,1
vrp-n181-c230-s4,GA,34117.2,457.295,6.57294,1103.64,10.0331,110,130927,1
vrp-n190-c345-s4,GA,34099.6,444.116,6.38466,1103.64,9.76672,113,131783,1
vrp-n152-c264-s4,GA,34250.5,447.736,6.33268,1103.64,9.51413,116,132634,1
vrp-n184-c353-s4,GA,34417.2,441.883,6.30348,1103.64,9.59686,115,130650,1
vrp-n162-c269-s4,GA,34659,448.287,6.22917,1103.64,9.35287,118,133955,1
vrp-n162-c329-s4,GA,34573.1,443.207,6.24519,1103.64,9.35287,118,132255,1
vrp-n185-c226-s4,GA,33620.9,431.736,6.38611,1103.64,9.68104,114,129077,1
vrp-n185-c284-s4,GA,34164.2,422.973,6.24151,1103.64,9.43281,117,129457,1
vrp-n157-c273-s4,GA,34329.1,454.216,6.47651,1103.64,9.68104,114,131172,1
vrp-n197-c338-s4,GA,33872.6,438.634,6.46941,1103.64,9.85392,112,129247,1
vrp-n173-c268-s4,GA,34457.6,435.973,6.31084,1103.64,9.51413,116,131249,1
vrp-n158-c169-s4,GA,33788.5,438.381,6.44048,1103.64,9.85392,112,129261,1
vrp-n171-c342-s4,GA,33762.7,444.527,6.46938,1103.64,9.76672,113,129513,1
vrp-n160-c326-s4,GA,33920.3,445.265,6.4146,1103.64,9.68104,114,132210,1
vrp-n184-c276-s4,GA,33962.1,443.047,6.40269,1103.64,9.68104,114,130672,1
vrp-n189-c264-s4,GA,34803.7,419.343,5.91574,1103.64,8.75904,126,132778,1
vrp-n189-c235-s4,GA,34409.5,444.798,6.31522,1103.64,9.59686,115,131623,1
vrp-n157-c291-s4,GA,34218.8,432.31,6.29998,1103.64,9.51413,116,131045,1
vrp-n189-c275-s4,GA,34372.5,433.6,6.2366,1103.64,9.27428,119,130024,1
vrp-n156-c346-s4,GA,34480.5,429.832,6.21439,1103.64,9.43281,117,130167,1
vrp-n170-c337-s4,GA,34068.8,424.925,6.31377,1103.64,9.59686,115,128200,1
vrp-n160-c337-s4,GA,35035.8,429.371,6.0354,1103.64,9.12098,121,131529,1
vrp-n161-c182-s4,GA,34327.4,432.769,6.27256,1103.64,9.51413,116,130792,1
