vrp-n39-c47-s1,GA,5649.48,370.273,6.31528,1014.21,42.2587,24,24033.2,0
vrp-n43-c75-s1,GA,6338.97,388.933,5.74753,832.862,30.8468,27,24809.9,0
vrp-n27-c73-s1,GA,6126.37,317.997,5.33,831.133,27.7044,30,23772.7,0
vrp-n30-c74-s1,GA,5953.59,363.475,5.91218,865.319,33.2815,26,24625.1,0
vrp-n20-c41-s1,GA,6591.59,409.344,5.67654,831.133,30.7827,27,26346.3,0
vrp-n21-c59-s1,GA,5748.35,343.212,5.91389,692.818,25.6599,27,23001.6,0
vrp-n17-c49-s1,GA,6152.54,367.561,5.74568,832.862,30.8468,27,24685.3,0
vrp-n16-c51-s1,GA,6413.51,339.541,5.18495,832.862,26.8665,31,24953.9,0
vrp-n39-c22-s1,GA,5686.72,387.162,6.50072,799.919,34.7791,23,24273,0
vrp-n19-c48-s1,GA,5726.15,358.824,6.066,915.8,36.632,25,24564.8,0
vrp-n27-c47-s1,GA,6407.55,382.322,5.56786,831.133,29.6833,28,26085.8,0
vrp-n42-c59-s1,GA,6143.66,390.1,6.04267,832.862,33.3145,25,25060.5,0
vrp-n43-c41-s1,GA,6303.66,337.78,5.20591,720.33,23.2364,31,24963.2,0
vrp-n20-c24-s1,GA,6100.01,381.446,5.91154,1189.35,45.7442,26,25206.5,0
vrp-n20-c75-s1,GA,6487.83,376.773,5.42701,832.862,28.7194,29,26043.6,0
vrp-n31-c58-s1,GA,6443.21,374.95,5.42701,692.818,23.8903,29,25347.8,0
vrp-n35-c73-s1,GA,5984.28,427.945,6.47246,832.862,36.2114,23,26094.1,0
vrp-n15-c48-s1,GA,5764.85,406.367,6.44493,970.241,42.1844,23,25852.5,0
vrp-n33-c59-s1,GA,6095.34,314.117,5.30614,692.818,22.349,31,23505.4,0
vrp-n13-c33-s1,GA,6302.47,329.083,5.20591,831.133,26.8107,31,23901.1,0
vrp-n13-c62-s1,GA,6258.79,334.82,5.24516,832.862,26.8665,31,25114.8,0
vrp-n41-c25-s1,GA,6265.39,404.024,5.8891,832.862,32.0332,26,26095.9,0
vrp-n41-c74-s1,GA,6166.59,373.218,5.79321,832.862,30.8468,27,24864.4,0
vrp-n14-c35-s1,GA,6069.81,388.859,5.9141,832.862,32.0332,26,25623.4,0
vrp-n23-c58-s1,GA,5913.57,405.41,6.28889,831.133,34.6305,24,25875.2,0
vrp-n48-c47-s1,GA,6108.34,322.515,5.26613,831.133,26.8107,31,24394.4,0
vrp-n32-c75-s1,GA,6286.85,323.686,5.20215,832.862,26.8665,31,24969.6,0
vrp-n32-c65-s1,GA,6054.88,360.004,5.76914,832.862,30.8468,27,24343,0
vrp-n14-c25-s1,GA,6025.51,347.701,5.74506,832.862,30.8468,27,23618,0
vrp-n35-c57-s1,GA,6240.92,372.118,5.61369,832.862,29.7451,28,25173.8,0
vrp-n25-c62-s1,GA,6226.92,383.161,5.72346,831.133,30.7827,27,25453.7,0
vrp-n14-c74-s1,GA,6061.27,349.224,5.7216,832.862,30.8468,27,23710.4,0
vrp-n13-c72-s1,GA,5746.86,383.7,6.28611,832.862,34.7026,24,24980.5,0
vrp-n22-c35-s1,GA,6170.35,391.15,6.01733,831.133,33.2453,25,25030.5,0
